Protein	Sign.set1	pvalue.set1	qvalue.set1	Sign.set2	pvalue.set2	qvalue.set2	Sign.meta	pvalue.meta	qvalue.meta
A2ML1_HUMAN	-1	0.102549397526886	0.173283924578366	NA	NA	NA	-1	0.102549397526886	0.148768386869197
A4_HUMAN	-1	0.114033775786741	0.181588305259033	-1	0.0188910297609336	0.0941775666270248	-1	0.00547770024913964	0.0334141319263728
AACT_HUMAN	1	0.245393821297813	0.2617333837189	1	0.483664673191756	0.328759988351144	1	0.187954416358554	0.204637339171044
AATC_HUMAN	1	0.686482975995411	0.450234120603279	NA	NA	NA	1	0.686482975995411	0.397922090673122
ABHEB_HUMAN	-1	0.150558232709863	0.210449860117486	NA	NA	NA	-1	0.150558232709863	0.180869933323431
ABP1_HUMAN	-1	0.917764025916325	0.523795762957668	NA	NA	NA	-1	0.917764025916325	0.460821347902657
ACE_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTN4_HUMAN;ACTN2_HUMAN;ACTN3_HUMAN	-1	0.818694859749668	0.498476498524005	NA	NA	NA	-1	0.818694859749668	0.434979978910868
ACV1B_HUMAN	-1	0.0541031075101062	0.13337357902006	NA	NA	NA	-1	0.0541031075101062	0.10676590137896
ACY1_HUMAN	-1	0.325941583899739	0.295119572751076	-1	0.410637479762789	0.304152760172951	-1	0.201816297181407	0.208335849122076
AEBP1_HUMAN	NA	NA	NA	-1	0.0587466287124882	0.143538411480171	-1	0.0587466287124882	0.112166187336037
AFAM_HUMAN;CON__REFSEQ:XP_585019	-1	0.840074185199894	0.504848480533016	NA	NA	NA	-1	0.840074185199894	0.440418531397874
AGAL_HUMAN	-1	0.004007186680695	0.0783259957655987	1	0.917047465427961	0.447050779951609	-1	0.0498650792735987	0.101770059869735
AGRIN_HUMAN	-1	0.857412712844376	0.510436264880137	-1	0.0369995721004459	0.120708566132939	-1	0.109176360322093	0.154214169704759
AK1A1_HUMAN	-1	0.168071965024255	0.221216114323905	NA	NA	NA	-1	0.168071965024255	0.190976114932459
AKAP3_HUMAN	-1	0.094227149699587	0.166668974997877	NA	NA	NA	-1	0.0942271496995871	0.142905408763425
AL1A1_HUMAN	-1	0.171424046850823	0.221850902381979	NA	NA	NA	-1	0.171424046850823	0.192094749568827
ALDOA_HUMAN	-1	0.03847302432668	0.116915431206141	1	0.343924888737934	0.282476123351943	-1	0.427008163730837	0.307023106831065
ALDOB_HUMAN	-1	0.0740743082438264	0.15434747534705	-1	0.12426071267805	0.190506952754253	-1	0.0187774996855565	0.0622159896258863
AMBP_HUMAN	-1	0.630801237476851	0.432786870584267	-1	0.0888217331446845	0.169556534047792	-1	0.122811224934686	0.16241327549459
AMD_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMPE_HUMAN	1	0.119829742955994	0.186088978416	1	0.0107234253849892	0.0782266203896496	1	0.00368264152951034	0.0320714526650799
AMPN_HUMAN	-1	0.41153869534406	0.337831487357012	1	0.403676250230169	0.304152760172951	1	0.992166486008306	0.481036415843791
AMY1_HUMAN	-1	0.0173745594199302	0.0974373254238109	-1	0.119470440790079	0.190472258469406	-1	0.00538672670519725	0.0334141319263728
AMY2B_HUMAN	-1	0.0184377768928448	0.0977341499132663	NA	NA	NA	-1	0.0184377768928448	0.061764643601804
AMYP_HUMAN	-1	0.00925583985732548	0.0872002382991836	1	0.799676679740366	0.417835766521669	-1	0.096758502836594	0.144668492486226
ANAG_HUMAN	-1	0.0120848337448423	0.0877588678027103	-1	0.278398114392394	0.262656077208915	-1	0.0110521250398043	0.0495054746149181
ANGI_HUMAN	-1	0.25012069309651	0.262920328529311	NA	NA	NA	-1	0.25012069309651	0.232676796076576
ANGL2_HUMAN;ANGL6_HUMAN	-1	0.176710032174981	0.224930457629655	NA	NA	NA	-1	0.176710032174981	0.196094692653699
ANGT_HUMAN	1	0.482353396867718	0.369602251098394	1	0.409160018403092	0.304152760172951	1	0.279970752418123	0.246104710517009
ANT3_HUMAN;CON__P41361	1	0.0261175192707981	0.101495459820052	NA	NA	NA	1	0.0261175192707981	0.0712966279104022
ANTR1_HUMAN	1	0.370729182270538	0.320213327605116	1	0.972364126839113	0.462821897322833	1	0.510902073808194	0.336893417405569
ANXA1_HUMAN	-1	0.116913022735554	0.183902835964767	-1	0.515324904501764	0.34064476334871	-1	0.11672522594011	0.159423168933953
ANXA2_HUMAN;AXA2L_HUMAN	-1	0.00541790356518579	0.0793205538348393	NA	NA	NA	-1	0.0054179035651858	0.0334141319263728
ANXA3_HUMAN	-1	0.597436114754785	0.421421857583119	NA	NA	NA	-1	0.597436114754785	0.366072099909786
ANXA4_HUMAN	1	0.99077772021355	0.543040443607711	-1	0.748071906261151	0.408801215644778	-1	0.826698902916282	0.43632055504183
ANXA5_HUMAN	-1	0.807115985079359	0.496231311753822	-1	0.671035060981853	0.39105356996017	-1	0.636236821537622	0.381997522053633
APOA_HUMAN	-1	0.0191699519148103	0.1000300722195	-1	0.417609613367125	0.30794260796511	-1	0.0257902612992741	0.0712966279104022
APOA1_HUMAN;CON__P15497	1	0.0738931063062747	0.15434747534705	NA	NA	NA	1	0.0738931063062747	0.126474450882621
APOA2_HUMAN	1	0.107732150729797	0.176800268632877	-1	0.180278202912111	0.216430237432825	1	0.849380564833459	0.442599501293407
APOA4_HUMAN	1	0.00761822726141248	0.0867033048162639	1	0.182133007936791	0.216922000364646	1	0.00464935770516959	0.0328366340500756
APOB_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
APOC3_HUMAN	1	0.283383984708749	0.274621237045456	1	0.964949536330636	0.460510882637055	1	0.429749500887386	0.307152962640428
APOD_HUMAN	-1	0.0347816954094071	0.1131001175148	-1	0.0842769590977998	0.166999302850375	-1	0.0066602988185296	0.037643938590603
APOE_HUMAN;CON__Q03247	-1	0.147825600002533	0.209530692271559	NA	NA	NA	-1	0.147825600002533	0.179677301608704
APOF_HUMAN	1	0.552997185064931	0.401473011834306	-1	0.298734935978569	0.269399554621825	-1	0.752548032857874	0.417721679492953
APOH_HUMAN;CON__P17690	-1	0.319548918100997	0.291501455357628	NA	NA	NA	-1	0.319548918100997	0.260669802307879
APOM_HUMAN	-1	0.987583291055962	0.542827347066782	-1	0.127034893082517	0.191374318496764	-1	0.27572267840066	0.243980548280686
ARK73_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARSA_HUMAN	-1	0.161140952083683	0.216508066705522	-1	0.20415276818459	0.227247058014893	-1	0.0589293704581813	0.112166187336037
ARSB_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASAH1_HUMAN	-1	0.103060299009844	0.173390063889248	1	0.724777520452283	0.402834294694056	-1	0.366121058118825	0.281545474454072
ASGR2_HUMAN	-1	0.0370912865603303	0.116052461392172	1	0.317809355399555	0.27623447571297	-1	0.442624944060944	0.312055548044938
ASSY_HUMAN	-1	0.285298525892246	0.274621237045456	-1	0.00289600281927384	0.0541120411459742	-1	0.00421372085041437	0.0320714526650799
ATL4_HUMAN	-1	0.0229065615118715	0.1000300722195	-1	0.100215862401023	0.178776341852966	-1	0.00558830047958933	0.0334141319263728
ATNG_HUMAN	NA	NA	NA	-1	0.0198096680425621	0.0941775666270248	-1	0.0198096680425621	0.0633183340365294
ATPB_HUMAN	1	0.166740896944297	0.22096318760846	NA	NA	NA	1	0.166740896944297	0.190976114932459
ATRN_HUMAN	-1	0.0585207525748759	0.139106167351168	-1	0.0865019705904179	0.167198793126856	-1	0.01077933548908	0.0495054746149181
ATS1_HUMAN	1	0.0895929154174213	0.166668974997877	-1	0.450430923834189	0.320014321678146	1	0.504965580017961	0.334210574370496
B2MG_HUMAN	1	0.280535879036512	0.274337977686378	-1	0.860409746931703	0.43444660100202	1	0.523015574999418	0.33932444409706
B3GN1_HUMAN	-1	0.0286252813969452	0.106306654717064	-1	0.329388695042519	0.279171263460011	-1	0.025269751280911	0.0710490668239033
B4GT1_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
BAMBI_HUMAN	-1	0.202057244201094	0.240474119182151	NA	NA	NA	-1	0.202057244201094	0.208335849122076
BASI_HUMAN	-1	0.0134783984650708	0.088062589788945	-1	0.402519344489955	0.304152760172951	-1	0.0193296911712531	0.0631684030283634
BASP1_HUMAN	-1	0.318532300684206	0.29138940425363	-1	0.663447250827091	0.388850517591971	-1	0.311047038857975	0.255286346265982
BCAM_HUMAN	-1	0.170394210636822	0.221258118702132	-1	0.0795852036075531	0.160949644922489	-1	0.027172753372542	0.0725632714550923
BGAL_HUMAN;GLB1L_HUMAN	-1	0.0775988183583205	0.157932822445893	NA	NA	NA	-1	0.0775988183583205	0.128200363992607
BHMT1_HUMAN	-1	0.158205448528808	0.214050401949975	-1	0.0121938690756338	0.0803450081041561	-1	0.00560264916099774	0.0334141319263728
BID_HUMAN	NA	NA	NA	-1	0.0313971806061666	0.112045917993818	-1	0.0313971806061666	0.0794288625690415
BMPR2_HUMAN	-1	0.0350738675592082	0.1131001175148	NA	NA	NA	-1	0.0350738675592082	0.0840311532918448
BPI_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
BPIB1_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
BROX_HUMAN	-1	0.118361674041733	0.184680083661823	NA	NA	NA	-1	0.118361674041733	0.160734522893225
BST1_HUMAN	1	0.578465590256088	0.411471040741131	NA	NA	NA	1	0.578465590256088	0.358127521813959
BT2A1_HUMAN;BT2A2_HUMAN	-1	0.233356380081768	0.257260557971135	NA	NA	NA	-1	0.233356380081768	0.223671637331803
BTD_HUMAN	-1	0.193298489875045	0.235855586328074	-1	0.8614148651849	0.43444660100202	-1	0.296806942018025	0.250538573496358
BTLA_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
BY55_HUMAN	-1	0.449616133277718	0.351477340747967	-1	0.17019219642218	0.212618451629326	-1	0.132460433149425	0.167600078407324
C163B_HUMAN	1	0.987412770991761	0.542827347066782	NA	NA	NA	1	0.987412770991761	0.480074823916585
C1R_HUMAN	1	0.907732143064706	0.522220033126804	NA	NA	NA	1	0.907732143064706	0.457999044598256
C1RL_HUMAN	-1	0.0243065180797131	0.100203970595299	-1	0.153455484081919	0.204091937345126	-1	0.0092701455401357	0.0465031144218464
C1S_HUMAN	1	0.704176119806085	0.457453651352934	1	0.110047401806052	0.185769104717795	1	0.161985959290912	0.188767049147087
C4BPA_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA159_HUMAN	-1	0.646666776228626	0.438233007227197	NA	NA	NA	-1	0.646666776228626	0.385477933512987
CAD11_HUMAN	-1	0.142214796949943	0.203817591800817	-1	0.0676685035884706	0.147404025482724	-1	0.0198179850603774	0.0633183340365294
CAD13_HUMAN	-1	0.152281108062041	0.210449860117486	-1	0.131705994723774	0.193215136196453	-1	0.0376967832861924	0.0883584472441961
CAD15_HUMAN	-1	0.872361729140425	0.513568902121276	1	0.829570884829546	0.428436120907614	1	0.969207052604062	0.475096368942838
CADH1_HUMAN	-1	0.414842889528609	0.339377584574191	-1	0.276832844255463	0.26178389710926	-1	0.178455115126742	0.197499739398399
CADH2_HUMAN	-1	0.239165841112776	0.25850965581563	-1	0.0186692420955171	0.0941775666270248	-1	0.012578608197482	0.0531628351391763
CADH6_HUMAN;CAD10_HUMAN;CADH9_HUMAN	1	0.558565437089774	0.403114677056685	NA	NA	NA	1	0.558565437089774	0.349959319701516
CADH8_HUMAN	1	0.798091055132715	0.493331395357895	NA	NA	NA	1	0.798091055132715	0.430102898794182
CADM1_HUMAN	-1	0.0710701628089274	0.152783146444032	-1	0.0598417111695878	0.143538411480171	-1	0.00913144317054517	0.0462394670755725
CADM2_HUMAN	-1	0.0589562142815412	0.139106167351168	-1	0.00291475712930213	0.0541120411459742	-1	0.000581390934254753	0.013510604706689
CADM3_HUMAN	1	0.88376971884878	0.516781537569189	1	0.292290621849523	0.266691602724643	1	0.396418699567181	0.293491407252582
CADM4_HUMAN	-1	0.00539220118127437	0.0793205538348393	-1	0.0254677049023032	0.100959723998312	-1	0.00038897834820077	0.0122816232556836
CAH1_HUMAN	1	0.141857485917919	0.203817591800817	1	0.256244432487163	0.250430497910392	1	0.0655537956456558	0.118638713031852
CAH2_HUMAN	-1	0.590611033867888	0.419339428005504	-1	0.327634177403378	0.279171263460011	-1	0.283464710119759	0.24663675251588
CALL3_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
CALL5_HUMAN	NA	NA	NA	-1	0.132835191277811	0.193215136196453	-1	0.132835191277811	0.167600078407324
CALM_HUMAN	1	0.728416884469756	0.46666336672359	-1	0.179697665891926	0.216430237432825	-1	0.481940227919568	0.323418322817781
CALR_HUMAN	1	0.0912503129526538	0.166668974997877	1	0.025608129699879	0.100959723998312	1	0.00556232693162726	0.0334141319263728
CAMP_HUMAN	-1	0.315776048884429	0.290240313866302	-1	0.153961419542511	0.204091937345126	-1	0.0858953904819832	0.136690440246362
CAP7_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
CASPE_HUMAN	-1	0.238609571046707	0.25850965581563	-1	0.322740156223886	0.277567399089264	-1	0.125393936264734	0.16241327549459
CATA_HUMAN	-1	0.959600264845218	0.532438015586149	1	0.948351716377572	0.455470614636736	1	0.992032882673467	0.481036415843791
CATB_HUMAN	-1	0.379536200428371	0.321534485198581	-1	0.0131944190875339	0.0847525039454007	-1	0.0176003810340835	0.061764643601804
CATC_HUMAN	-1	0.101875685283484	0.173004766806953	1	0.191358166737827	0.223111664048691	-1	0.815902001527597	0.434900354972357
CATD_HUMAN	-1	0.0252029247278682	0.100540224946621	1	0.791971485971475	0.415852205622499	-1	0.162653907672805	0.188767049147087
CATG_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
CATH_HUMAN	-1	0.03176493131956	0.111741855847843	-1	0.681581296580295	0.393828654063304	-1	0.0705224187323005	0.123254600504549
CATL1_HUMAN	1	0.0469407458749456	0.123564380424131	1	0.452309466435517	0.320791058431003	1	0.0528255076505331	0.105334932930188
CATZ_HUMAN	1	0.00945576884228005	0.0872002382991836	1	0.0241142589402614	0.100959723998312	1	0.000604097119077607	0.013510604706689
CBG_HUMAN	1	0.250720524665067	0.262920328529311	1	0.355226654245956	0.286224395428191	1	0.142674717221219	0.175329708230895
CBPE_HUMAN	-1	0.0209731759770313	0.1000300722195	-1	0.748723630931321	0.408801215644778	-1	0.0630505146403179	0.116974695937488
CBPM_HUMAN	-1	0.0439549725106949	0.122026780520036	-1	0.132883889034757	0.193215136196453	-1	0.0128774980927896	0.0531881658406568
CBPZ_HUMAN	-1	0.262261823691518	0.265898763503857	NA	NA	NA	-1	0.262261823691518	0.238703355835328
CD14_HUMAN	-1	0.258730215813299	0.265898763503857	-1	0.171729103152102	0.213234299871561	-1	0.0775662118920633	0.128200363992607
CD166_HUMAN	1	0.570944085770098	0.407578449564484	1	0.684389494645343	0.394335757738489	1	0.491380055288814	0.328459058939994
CD177_HUMAN	-1	0.419303179801249	0.340660108605882	NA	NA	NA	-1	0.419303179801249	0.30437639747541
CD209_HUMAN	-1	0.246754620529819	0.2617333837189	-1	0.767826252803039	0.41110000279506	-1	0.304057589811372	0.253990933918805
CD248_HUMAN	-1	0.00828474866373008	0.0872002382991836	-1	0.0239048529108093	0.100959723998312	-1	0.000532124521838062	0.013510604706689
CD27_HUMAN	-1	0.0288462329559982	0.106306654717064	-1	0.648505798946549	0.3861880302454	-1	0.0617946459489929	0.115974919533398
CD276_HUMAN	NA	NA	NA	-1	0.0400307929445076	0.125793992514892	-1	0.0400307929445076	0.0918242944699346
CD320_HUMAN	-1	0.661442052236344	0.444270150193217	-1	0.187987838354077	0.221953866970287	-1	0.21475232319453	0.214655909784549
CD44_HUMAN	-1	0.0233183563135804	0.1000300722195	-1	0.0411764518507212	0.126745627482536	-1	0.00230693237826299	0.0282150746770743
CD59_HUMAN	-1	0.0279416566991608	0.10600164993457	-1	0.0215146338451512	0.0955333908013971	-1	0.00147370413239046	0.0226006808037675
CD5L_HUMAN	1	0.685867558253944	0.450234120603279	1	0.283683452474895	0.263629423826788	1	0.296448780144037	0.250538573496358
CD7_HUMAN	-1	0.141180897343553	0.203817591800817	1	0.372133890615091	0.293574821130076	-1	0.682274542632117	0.396995686826357
CD9_HUMAN	-1	0.0336198556408309	0.1131001175148	NA	NA	NA	-1	0.0336198556408309	0.0827787026044287
CDC42_HUMAN	-1	0.274790680610515	0.272146527550585	NA	NA	NA	-1	0.274790680610515	0.243980548280686
CDD_HUMAN	1	0.622344913719989	0.430827690671853	NA	NA	NA	1	0.622344913719989	0.376605613728032
CDHR2_HUMAN	-1	0.169288420909648	0.221258118702132	-1	0.262249381077859	0.255687507511885	-1	0.0776235238788167	0.128200363992607
CDHR5_HUMAN	-1	0.0314549362098266	0.111666513168537	NA	NA	NA	-1	0.0314549362098266	0.0794288625690415
CEAM5_HUMAN	-1	0.279673351160011	0.274337977686378	NA	NA	NA	-1	0.279673351160011	0.246104710517009
CEAM8_HUMAN	NA	NA	NA	-1	0.56242293703554	0.354019665880999	-1	0.56242293703554	0.350294827832152
CEL_HUMAN	-1	0.0504110600518182	0.128334341491415	-1	0.169468333470369	0.212618451629326	-1	0.018526208656669	0.061764643601804
CERU_HUMAN	1	0.192067582767615	0.235855586328074	1	0.0710057376069909	0.151078016790975	1	0.0278742945767448	0.0737033303282789
CETP_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
CF072_HUMAN	-1	0.106902348064961	0.176800268632877	NA	NA	NA	-1	0.106902348064961	0.151979374913049
CF120_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAB_HUMAN	1	0.00408627580692844	0.0783259957655987	1	0.339087947358941	0.28096219952946	1	0.0068022150305667	0.0380328077661627
CFAD_HUMAN	1	0.704583897598367	0.457453651352934	1	0.267038085133213	0.258122370660476	1	0.292379075827986	0.24910646811862
CFAH_HUMAN	1	0.237209848151136	0.257938622389829	1	0.34588433484534	0.282598563238701	1	0.13301620462586	0.167600078407324
CFAI_HUMAN	-1	0.0808667599077721	0.160470821420108	1	0.508745295622959	0.340148262376131	-1	0.443003966710786	0.312055548044938
CHL1_HUMAN	-1	0.308433410160003	0.286210791800774	NA	NA	NA	-1	0.308433410160003	0.254298057554177
CHM1B_HUMAN	NA	NA	NA	1	0.7420727396431	0.408801215644778	1	0.7420727396431	0.414910580282029
CHM4B_HUMAN	-1	0.0731178981128573	0.15434747534705	-1	0.705034043124046	0.401138830647764	-1	0.124816812285045	0.16241327549459
CHMP5_HUMAN	-1	0.260255489832387	0.265898763503857	-1	0.0649093685705118	0.144299965989561	-1	0.0356157366188492	0.0845887790793418
CILP1_HUMAN	1	0.714714271629787	0.460937294550576	-1	0.11580845492373	0.187156179975231	-1	0.39336262438462	0.292844514098746
CILP2_HUMAN	-1	0.0294630528424253	0.106550283965808	-1	0.164876019631387	0.211142603309915	-1	0.0116819740884344	0.050994416150265
CK054_HUMAN	-1	0.331281086514411	0.297426743584565	1	0.193331827981877	0.223736949539101	1	0.815905701573074	0.434900354972357
CLC14_HUMAN	-1	0.0221946038933591	0.1000300722195	-1	0.391004231020215	0.300247144159358	-1	0.0261671215123387	0.0712966279104022
CLC4G_HUMAN	-1	0.0109558055118097	0.0877588678027103	NA	NA	NA	-1	0.0109558055118097	0.0495054746149181
CLC7A_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLC9A_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLIC1_HUMAN	1	0.0099878391518966	0.0872002382991836	1	0.0195284134721589	0.0941775666270248	1	0.000514711008832533	0.013510604706689
CLM1_HUMAN	-1	0.903287622688049	0.522220033126804	-1	0.105592147152293	0.183391843548815	-1	0.218603478329467	0.216090912335517
CLM2_HUMAN	-1	0.00666253336411726	0.0840430685154327	NA	NA	NA	-1	0.00666253336411728	0.037643938590603
CLM8_HUMAN	-1	0.016793642812712	0.0969908473793171	-1	0.619751696925186	0.377315168826397	-1	0.041181495721042	0.0919047140718647
CLM9_HUMAN	-1	0.0121356398240309	0.0877588678027103	-1	0.00698132580817408	0.0679043625465636	-1	0.00023219922648166	0.0103862503664403
CLMP_HUMAN	-1	0.840206963050486	0.504848480533016	NA	NA	NA	-1	0.840206963050486	0.440418531397874
CLN5_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLUS_HUMAN	-1	0.448990862022218	0.351477340747967	-1	0.134323012971098	0.193215136196453	-1	0.110918284625218	0.156263459011073
CMGA_HUMAN	1	0.205700663216542	0.240474119182151	1	0.978017309780581	0.463498503423177	1	0.360553482391572	0.278460856508978
CNDP2_HUMAN	-1	0.489447009298829	0.373558277616999	1	0.427642029569775	0.311273084875537	1	0.942477495204351	0.468410366498648
CNTFR_HUMAN	-1	0.994215755067899	0.543385478136889	-1	0.207022567199188	0.2279569516933	-1	0.369532189842662	0.282952491476469
CNTN1_HUMAN	-1	0.29112687128867	0.277510221831037	NA	NA	NA	-1	0.29112687128867	0.248690527145344
CO1A1_HUMAN	-1	0.678943061728123	0.44909491010172	-1	0.000248195761918574	0.043160233461989	-1	0.00393163003469612	0.0320714526650799
CO1A2_HUMAN	-1	0.571939903825391	0.407578449564484	-1	0.0202799151861625	0.0941775666270248	-1	0.0412567784532657	0.0919047140718647
CO2_HUMAN	-1	0.282073154634962	0.274621237045456	1	0.371221468697467	0.293574821130076	-1	0.897887769470122	0.45639134763645
CO2A1_HUMAN	1	0.769289241825317	0.480905400906411	-1	0.172993580967513	0.213649798366922	-1	0.449565477867276	0.313283782676752
CO3_HUMAN	1	0.132111698735146	0.196620399154856	1	0.233762461638449	0.240195136245871	1	0.0565531912975195	0.109072995206643
CO4A2_HUMAN	-1	0.193826271946646	0.235855586328074	1	0.625450544960599	0.378528220491762	-1	0.56623380827918	0.35177204098978
CO5A1_HUMAN	1	0.61144711622834	0.427080537702716	-1	0.342017208682052	0.281692537791702	-1	0.754533521084296	0.417959331859444
CO5A3_HUMAN	-1	0.152240574537792	0.210449860117486	1	0.754994733665481	0.408801215644778	-1	0.428548457176992	0.307023106831065
CO6_HUMAN	-1	0.644913579121905	0.437811646414664	-1	0.0930847355883811	0.170522883191335	-1	0.130193449643254	0.166933788953275
CO6A1_HUMAN	-1	0.0121377715319948	0.0877588678027103	-1	0.0625607565232604	0.144299965989561	-1	0.00199921275310404	0.0261730552229045
CO6A3_HUMAN	-1	0.112804804459612	0.181107273467075	-1	0.716100715373136	0.402001883549971	-1	0.168072324422112	0.190976114932459
CO7_HUMAN;CON__Q29RQ1	-1	0.156568209999926	0.214050401949975	NA	NA	NA	-1	0.156568209999926	0.18429689079872
CO8A_HUMAN	1	0.518350728602733	0.388880030986933	-1	0.291506371626341	0.266691602724643	-1	0.772459471703789	0.423086230959346
CO8B_HUMAN	1	0.257482044793201	0.265898763503857	-1	0.0318746171118552	0.112252506712397	-1	0.473537380339387	0.320523845546782
CO8G_HUMAN	NA	NA	NA	-1	0.0529854860427435	0.136129744438806	-1	0.0529854860427435	0.105334932930188
CO9_HUMAN;CON__Q3MHN2	1	0.0226060203264145	0.1000300722195	NA	NA	NA	1	0.0226060203264145	0.0685535756883569
COCA1_HUMAN	-1	0.726538688746111	0.466231999951279	-1	0.241829620677833	0.245749420406888	-1	0.282412769810069	0.246605685310961
COCH_HUMAN	1	0.330725267798256	0.297426743584565	-1	0.211774530393264	0.22934290790231	-1	0.845240667634312	0.441762864607612
COEA1_HUMAN	-1	0.230476727825875	0.256276320525328	NA	NA	NA	-1	0.230476727825875	0.22242358589792
COF1_HUMAN;COF2_HUMAN	1	0.737405190531006	0.469108671473935	NA	NA	NA	1	0.737405190531006	0.413291699290149
COFA1_HUMAN	-1	0.0233592976583861	0.1000300722195	1	0.877424904747556	0.437658246618074	-1	0.135094854843988	0.169820532630056
COIA1_HUMAN	-1	0.0262292559445809	0.101495459820052	-1	0.325599853566734	0.27885271836417	-1	0.0233991360338652	0.0687318383876872
COL_HUMAN	1	0.773807386634156	0.48139672446513	NA	NA	NA	1	0.773807386634156	0.423276012104223
COL12_HUMAN	-1	0.168301433668723	0.221216114323905	-1	0.134322909888077	0.193215136196453	-1	0.0420627807120028	0.0929118207868343
COMP_HUMAN	1	0.875447837233252	0.514050166373452	-1	0.32041752245394	0.276735056094066	-1	0.554019461728988	0.349031554035596
Contaminant_TRYP_BOVIN	-1	0.0947581996690312	0.166668974997877	NA	NA	NA	-1	0.0947581996690313	0.142905408763425
COSA1_HUMAN	-1	0.788818028206299	0.489162192079991	NA	NA	NA	-1	0.788818028206299	0.427681926612223
COTL1_HUMAN	1	0.0927029784629489	0.166668974997877	1	0.876791501472844	0.437658246618074	1	0.194117965666597	0.206042655627162
CP089_HUMAN	-1	0.558752038840462	0.403114677056685	NA	NA	NA	-1	0.558752038840462	0.349959319701516
CPN2_HUMAN	-1	0.0447798725472019	0.122026780520036	-1	0.0307871725601907	0.11130134770434	-1	0.00321724129248304	0.0320408816969091
CPVL_HUMAN	-1	0.420049537038822	0.340660108605882	1	0.744395439011267	0.408801215644778	-1	0.734141713878514	0.413291699290149
CREG1_HUMAN	-1	0.163179238739886	0.217734650877079	NA	NA	NA	-1	0.163179238739886	0.188767049147087
CRIS3_HUMAN;CRIS2_HUMAN	-1	0.0812848517976019	0.160477515264604	NA	NA	NA	-1	0.0812848517976019	0.13142610680348
CRNN_HUMAN	-1	0.115898750043852	0.183801719646099	-1	0.888925014704159	0.440703983967279	-1	0.226091846398409	0.219487873880538
CRYAB_HUMAN	-1	0.275694574691119	0.272146527550585	NA	NA	NA	-1	0.275694574691119	0.243980548280686
